,Strain,Type,Rating,Effects,Flavor,Description
616,Crown-Og,indica,4.7,"Relaxed,Happy,Sleepy,Uplifted,Euphoric","Diesel,Earthy,Pepper","Crown OG is an indica strain that stays true to its OG roots with a sweet pine aroma and potent euphoric effects. While Crown OG may take a toll on your memory and cognitive sharpness, its crushing THC content is perfect for patients suffering severe pain or insomnia. This strain took 1st place in the 2015 High Times Denver Cannabis Cup as “Best Indica Concentrate,” earning the victorious stripes its name sets forth."
617,Crown-Royale,indica,4.7,"Relaxed,Happy,Euphoric,Sleepy,Aroused","Sweet,Flowery,Berry","Crown Royale is a sweet indica-dominant hybrid that blends the best of parent strains Blueberry and Purple Kush together. This flower is a feast for the eyes with bright purple hues and deep green foliage. Just as delightful on the palate, Crown Royale exhibits notes of the forest floor with piney aromas and a telltale berry tartness. These scents show up in the flavor as a sweeter, fruiter pine. Enjoy this strain for pervasive physical effects that dull pain, nausea, and stress.    "
620,Crystal-Coma,sativa,4.6,"Happy,Uplifted,Euphoric,Focused,Creative","Flowery,Earthy,Citrus","Crystal Coma is a rare sativa-dominant hybrid from California that induces deep, trance-like effects. Its name foreshadows the debilitating relaxation to come, a long-lasting calm that shuts off mental overactivity. Pastel green breaks through this sativa’s thick blanket of crystal trichomes that contributes to its staggeringly high THC content of up to 26 percent. Crystal Coma’s genetics are long lost, but myth has it that the origins lie in Cheese and Skunk #1. Anxiety, PTSD, pain, and sleeplessness are no match for Crystal Coma’s potency, a medicine that is highly recommended for nighttime use. Crystal Coma took 3rd place in the 2014 L.A. Cannabis Cup."
622,Crystalberry,indica,4.5,"Aroused,Relaxed,Uplifted,Giggly,Happy","Berry,Blueberry,Grape","Crystalberry is an indica-dominant cannabis strain crossed using two popular and well-loved strains, Sensi Star and DJ Short’s Blueberry. Your senses will instantly notice the notes of sweet blueberry and lemon throughout. The effects are led by a long-lasting euphoric buzz followed by full-body relaxation help you manage pain and tension."
623,Cuvee,indica,4.5,"Euphoric,Happy,Relaxed,Giggly,Tingly","Earthy,Grape,Berry","A collaboration from TGA Genetics and Aficionado Seeds, Cuvee was created crossing Space Queen and the clone-only Pinot Noir. This hybrid plant will hit you fast with a relaxing body high while you taste sweet cherries and chocolate. Rich flavor paired with copious amounts of resin makes Cuvee a great strain for making cannabis concentrates."
624,Dj-Andy-Williams,sativa,5.0,"Creative,Energetic",None,"DJ Andy Williams (also known as DJ Andy) is a heartfelt dedication in the guise of a powerful sativa-dominant strain. This strain was named in memoriam of DJ Andy Williams, also known as DJ A-Dog, who passed away of leukemia at the age of 38. A cross between Blue Dream and Super Lemon Haze, DJ Andy delivers bright flavors of citrus, vanilla, and herbs. DJ Andy starts with a creative mental state and an invigorating body buzz. The physical effects persist and mellow with time while remaining uplifting, keeping the consumer off the couch. This is a solid strain to help manage stress and depression without debilitating sedation.  "
628,Dakini-Kush,indica,4.5,"Relaxed,Sleepy,Happy,Euphoric,Giggly","Earthy,Coffee,Spicy/Herbal","Dakini Kush is the heavy indica-dominant cross of Pre-98 Bubba Kush and Hindu Kush. This strain’s sweet and herbaceous flavors leave the taste of hops, caramel, and berry on the palate. Dakini Kush offers traditional, if not heavier than average, effects that elevate the mind and relax the body. This strain is a quality choice at the end of the day to enhance mood, diminish pain, and promote rest. Dakini Kush has a healthy yield and a quick nine week flowering time.  "
631,Dance-World,sativa,4.6,"Happy,Relaxed,Uplifted,Euphoric,Talkative","Earthy,Citrus,Spicy/Herbal","Dance World is a high-CBD sativa strain bred by Royal Queen Seeds in Spain. A cross between Dancehall and Juanita La Lagrimosa, Dance World’s heritage stems primarily from Afghani and Mexican genetics. From its Dancehall parent, Dance World inherits active, uplifting effects that motivate productivity and a positive mindset. Earthy and spicy flavors dominate the palate, but subtle fruity notes bring Dance World sweet undertones. While Dance World shows its sativa genetics in its energetic effects, Dance World plants are more indica in stature and flower after just 8 weeks."
632,Dancehall,hybrid,4.6,"Happy,Relaxed,Uplifted,Energetic,Creative","Earthy,Citrus,Flowery","Dancehall, a 60/40 sativa-dominant hybrid, was bred by Reggae Seeds by combining Juanita La Lagrimosa (a Mexican-Afghani-Spanish hybrid) with Kalijah (Blue Heaven crossed with a Mexican-Afghani hybrid). Named after a style of Reggae played in times of celebration, Dancehall will lift your spirits to a happier place where creativity and social bonding thrive. As its flowers mature, vibrant shades of green, blue, purple, and red twist underneath its crystal trichomes while aromas both sweet and spicy dance from cracked buds. "
633,Dank-Schrader,indica,4.9,"Relaxed,Happy,Uplifted,Euphoric,Hungry","Tropical,Pine,Earthy","Dank Schrader is the house strain at The Healing Center in Vancouver, BC. The strain was developed during the final season of Breaking Bad and is named after DEA Agent Hank Schrader, a character on the show. Dank Schrader crosses Rockstar Kush with Bubba Kush to create a potent and relaxing indica-driven hybrid that has tested out as high as 27% THC according to dispensary’s lab results, performed by Hedron Analytical."
634,Dank-Sinatra,hybrid,5.0,"Happy,Uplifted,Relaxed,Sleepy,Euphoric","Diesel,Berry,Tropical","Dank Sinatra is an indica-dominant hybrid named for “Old Blue Eyes,” Frank Sinatra. This strain was created by crossing LA Affie and Hash Plant, leading to a happy, cerebral buzz that settles down into the body. The weighted relaxation helps consumers abate stress and depression while preparing the body for rest. Dank Sinatra has pungent, earthy flavors intermixed with subtle notes of citrus and diesel.  "
636,Dark-Blue-Dream,hybrid,4.6,"Happy,Euphoric,Relaxed,Uplifted,Giggly","Sweet,Berry,Blueberry","Dark Blue Dream is a gently sedating twist on a classic. By combining the ubiquitous headiness of Blue Dream with Dark Night’s semi-sedative physical aura, an enjoyable hybrid is created that stimulates the mind while simultaneously relaxing the body. These complementary attributes make Dark Blue Dream an ideal after-work strain. The sweet flavor and pungent aroma are a feast for the senses while the headiness promotes creativity and lateral thought without overstimulating the consumer.  "
637,Dark-Side-Of-The-Moon,indica,4.6,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Berry,Earthy,Spicy/Herbal","From Exotic Genetix comes Dark Side of the Moon, an indica strain that pays homage to the legendary 1973 Pink Floyd album. A cross between Spirit in the Sky and Green Ribbon, Dark Side of the Moon flowers bloom with a starry coat of crystal trichomes wreathed by dark purple leaves, giving the strain an almost celestial appearance. Earthy, hashy flavors lead the way with full, sweet fruity notes to follow."
639,Darkside-Og,indica,4.6,"Sleepy,Relaxed,Euphoric,Hungry,Happy","Lemon,Citrus,Earthy","Darkside OG is a heavy-hitting Kush combo from Colorado Seed Inc. With the OG parentage of Dark Star OG x Rug Burn OG, this strain is a useful and sedating option. The dark, frosted buds emanate an earthy, floral aroma that lingers in the air. Enjoy this strain before bed, as Darkside OG locks the consumer to the couch and envelopes the body in warm, calming haze. "
641,Dawgs-Waltz,hybrid,4.6,"Euphoric,Relaxed,Uplifted,Happy,Sleepy","Earthy,Skunk,Sweet","Dawg’s Waltz combines the purple hues and flavors of Purple Urkle with the skunky aroma and powerful effects of Tres Dawg to create an extremely pungent hybrid. The dense buds have large calyxes and smell of spiced grape and skunky diesel. This hybrid is a favorite among those who struggle with chronic pain and insomnia, or enjoy the relaxing, couch-locked effects typical of most indica-dominant blends."
646,Death-Bubba,indica,4.7,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Pungent,Sweet","Death Bubba, bred by Matteo Suleyman of Vancouver BC's Sea to Sky, is a beautiful, purple-hued strain with trichromes and terpenes abound. Created by crossing Death Star and Bubba Kush, this pungent pairing reeks of grass and skunk while the smoke is sweet, earthy, and clean on the palate. Its semi-sedative effects lock the consumer to the couch, unknotting tension and soothing minor physical discomfort with ease. This stinky BC native has been serving cannabis enthusiasts since 2012 and was most recently smelled off Fraser St. the Vancouver metro area."
647,Death-Star,indica,4.6,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Earthy,Diesel,Pungent","Death Star is the potent cross of Sensi Star and Sour Diesel and has the shared sativa and indica effects of its parents. It has a mixed taste that combines sweet, skunk, and fuel aromas into a very potent fragrance that isn’t easy to hide. This strain may not have the ability to destroy planets, but it does have quite the powerful buzz. Effects can be slow to onset, but once they do, Death Star takes away all cares and replaces them with a state of relaxed euphoria. Great for daytime or nighttime use, this Ohio native now has fans throughout the galaxy."
648,Deathstar-Og,indica,4.6,"Relaxed,Happy,Sleepy,Euphoric,Tingly","Diesel,Earthy,Skunk","Death Star OG is a potent cross between Sour Diesel, Sensi Star, and OG Kush."
652,Deep-Sleep,indica,4.5,"Relaxed,Euphoric,Sleepy,Tingly,Happy","Pungent,Earthy,Sweet","Also known as P.O. 4, Deep Sleep is a cross of the Larry OG and Pre-98 Bubba Kush from North Hollywood breeders Progressive Options. This indica-dominant hybrid is quite aptly named, as it quickly reduces users to a puddle of sleepy relaxation. The flavor of Deep Sleep is very sweet and fruity on the inhale with a nice OG funk on the exhale. Fans of OG Kush will love these thick, resinous, purple-tinted flowers."
653,Delahaze,sativa,4.5,"Uplifted,Happy,Energetic,Focused,Talkative","Citrus,Mango,Sweet","DelaHaze by Paradise Seeds is a 70% sativa strain bred from Mango Haze and California Lemon Skunk genetics. To the delight of commercial growers, DelaHaze has the energetic effect profile of a Haze sativa while still offering sizeable yields and a moderate flowering time. Mango and citrus notes express themselves loudly and bring a sweet overtone to the strain's earthy, spicy aroma. Staying true to its Haze genetics, this sativa delivers uplifting cerebral energy that fuels creativity, focus, and happiness, and then tapers into calm relaxation in time."
655,Desert-Star,hybrid,4.8,"Hungry,Sleepy,Tingly,Uplifted,Creative",Earthy,"Desert Star is a sweet and earthy 50/50 hybrid cannabis strain that offers a motivating, upbeat buzz to keep you productive and stress-free. Exclusively available at Encanto Green Cross under the “Chong Certified” label, Desert Star is a treat for all the senses as it shimmers with a constellation of crystal-tipped trichomes."
656,Destroyer,sativa,4.9,"Energetic,Uplifted,Euphoric,Giggly,Happy","Lavender,Ammonia,Sweet","Destroyer by CannaBiogen is a 100% sativa and CBG powerhouse created over seven years of breeding. Destroyer is the offspring of Meao Thai and a Mexican/Colombian cross, and emits a delicate fruity aroma intermixed with notes of lavender and floral sweetness. This high-THC strain develops beautiful frosted buds that offer consumers powerful psychoactive effects coupled with vigorous alertness. Enjoy this potent, nuanced sativa one hit at a time, as its THC content is designed for seasoned consumers. "
660,Diamond-Og,indica,4.5,"Relaxed,Sleepy,Happy,Uplifted,Euphoric","Earthy,Spicy/Herbal,Pine","Diamond OG is a precious gem of a strain that patients love for its potent and long-lasting effects. A true indica, this strain induces full-body relaxation that nixes pain and muscle spasms before settling into an overall laziness. It can leave you mentally euphoric in smaller doses, but it’s definitely not one for times when work or even wakefulness needs to happen. Diamond OG is the result of an unknown strain crossed with OG Kush and has the familiar OG aroma of citrus-pine supported by fuel undertones. These sparkling nugs will be condensed and have a strong odor; they’re definitely a beauty to show off. "
662,Diamond-Valley-Kush,hybrid,5.0,"Happy,Relaxed,Sleepy,Creative,Energetic","Earthy,Spicy/Herbal,Pungent","Diamond Valley Kush is an indica-dominant hybrid that produces dense, medium-sized buds that emanate a classic OG aroma. These earthy nuggets have bright green foliage with brownish orange hairs throughout. This Kush variety supplies a deep, stoney buzz to the body and flushes the mind of anxiety and depression. Newbies, approach this powerful indica strain with caution. "
666,Dinachem,hybrid,4.7,"Talkative,Relaxed,Happy,Energetic,Giggly","Tropical,Pungent,Earthy","Dinachem by Dinafem Seeds is an especially potent cross of Guava Chem and the Original Chemdawg ‘91 from Chemdog’s own genetics. This strain enhances and preserves the potency and quality of Chemdog’s original strain while infusing fruit and floral nuances into the oily, woody aroma inherent to the strain. With natural pest and moisture resistance, Dinachem offers novice growers a hearty piece of cannabis history with a large yield and an average THC content of 18-23%. Dinachem won 1st prize for “Best Indica” at Cannazores Cup in 2016 and 2nd prize for “Best Indica” at IC420 Growers Cup in 2015.   "
667,Dirty-Girl,sativa,4.5,"Uplifted,Happy,Focused,Euphoric,Energetic","Citrus,Sweet,Lemon","Dirty Girl is a sativa-dominant cross of a Trainwreck hybrid, known as Arcata Lemon Wreck, and Cinderella 99. The combination produces a tropical aroma of pineapples and citrus fruit with a sharp pungent note reminiscent of Pine Sol.  The flavor of Dirty Girl is like sweet lemon candy and the effects it produces are happy and creative. Dirty Girl will elevate your mood and help avoid the complications of depression, anxiety, and migraine headaches."
668,Dirty-Old-Bastard,indica,5.0,None,"Spicy/Herbal,Flowery","Dirty Old Bastard (also known as Dirty, Ol’ Dirty Bastard, or Dirt McGirt) is an indica-dominant cross that pays homage to Wu-Tang Clan’s own, ODB. A cross between California classic, OG Kush, and the ever-sweet Blackberry, Dirty Old Bastard melds complementary flavors and effects, creating a strain that is pleasant on the palate and the body. The strain’s aroma is saccharin with notes of berry, lemon, and pine. Its effects are initially uplifting, but quickly mellow into hazy relaxation that helps abate stress and depression. The physical effects deepen with time and continued consumption, lending benefits to consumers treating cramps and pain. "
670,Disney-Blue,hybrid,4.5,"Happy,Creative,Energetic,Focused,Giggly","Sweet,Lime,Apple","Disney Blue is a mood-lifting hybrid strain appropriately named after the “happiest place on earth.” Bred in Temecula, CA by Greenleaf Genetics Collective, Disney Blue inherits the sweet aroma of DJ Short Blueberry and the blissful, uplifting effects of a Blue Dream parent sourced from Oaksterdam University. With an intensely flavorful burst of fruit and blueberry, this hybrid awakens happiness in the mind and tranquility throughout the body."
671,Dizzy-Og,hybrid,5.0,"Giggly,Relaxed,Uplifted,Happy,Hungry","Sweet,Pungent,Spicy/Herbal","Dizzy OG took 2nd place for Best Medical Hybrid Flower at the 2016 SoCal Cannabis Cup and is the official strain of Las Vegas hip-hop luminary Dizzy Wright. This strain has traditional OG qualities, including a heavy yet functional body buzz that sticks to the bones. With slightly sweeter terpenoids than traditional OG strains, this hybrid is an all-day smoke for the seasoned consumer, but can lean toward full sedation in larger doses.  "
672,Django,sativa,4.6,"Energetic,Uplifted,Happy,Talkative,Euphoric","Sweet,Flowery,Earthy","Django means “I awake,” in Romani, and this upbeat sativa will have you saying just that. Active and light, this strain’s effects might not be great for those looking for pain relief or strong relaxation. But if you want to lift your mood without losing energy, Django is just the thing. "
673,Do-Over-Og,hybrid,4.7,"Talkative,Uplifted,Creative,Euphoric,Happy",,"Do-Over OG is an indica-dominant strain that combines OG Kush, Hindu Kush, Skywalker OG, and Wellness OG into one powerful hybrid. Bred in Los Angeles, Do-Over OG is appreciated for its potent euphoric effects and creative influence. The mind-expanding effects are brought on by a sweet blend of sweet, earthy flavors that intertwine with the sharp pine notes indicative of its OG Kush heritage. Do-Over OG is specially cultivated by Neighborhood Farms to celebrate the 10th anniversary of The Do-Over event series in Los Angeles and beyond."
674,Do-Si-Dos,indica,4.8,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Earthy,Sweet,Pungent","Do-Si-Dos is an indica-dominant hybrid with qualities similar to its parent, Girl Scout Cookies. With glittering trichomes, bright pistils, and lime green and lavender leaves, this strain is a feast for eyes. Its aroma is pungent, sweet, and earthy with slight floral funkiness. These classic OG aromas blend nicely with medical-grade body effects that lean toward the sedative side with the addition of Face Off OG genetics. Enjoy a stoney, in-your-face buzz off the start that melts down over the body, prettifying the consumer with relaxation that emanates outward. "
675,Doctor-Doctor,sativa,5.0,"Relaxed,Uplifted,Focused,Happy,Aroused","Sweet,Strawberry,Citrus","Doctor Doctor by Vodis USA is a high-CBD sativa-dominant phenotype of the landrace Malawi. This cannabinoid power plant has been known to generate over 20% CBD and approximately 1-2.5% THC. With this medicinal ratio, Doctor Doctor provides potent wellness driven effects that settle nausea, reduce inflammation, and abate anxiety all while preserving mental clarity. Overall, Doctor Doctor is the perfect choice for consumers seeking a smooth, flavorful smoke with the potential to ease both physical and mental stresses.  "
677,Dogwalker-Og,hybrid,4.7,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Earthy,Skunk,Pungent","Dogwalker OG is a balanced hybrid bred by combining Albert Walker OG and Chemdawg 91. With a complex profile of woody and skunky aromas, Dogwalker OG delivers a strong cerebral calm that radiates throughout the body over time. The sativa side of Dogwalker OG promotes focus, while its indica counterpart induces deep relaxation that easily converts to sleep in high doses. This THC-rich hybrid can be used for a variety of issues, particularly pain, mood disorders, and appetite loss."
678,Dolla-Sign-Og-Kush,indica,5.0,"Creative,Sleepy,Uplifted,Energetic,Hungry","Sweet,Flowery,Pungent","Dolla Sign OG Kush by Ty Dolla Sign is an OG blend befitting the rising Hip Hop/RnB wunderkind. He achieves this one-of-a-kind strain by blending Irene OG and Larry OG (two of his favorite cuts), creating a strain with distinct aromas and unique effects. The terpene profile is a fresh blend of diesel, lemon, pine, and earth, and its effects offer heady Kush elements while remaining kind to the body. Enjoy Dolla Sign OG Kush throughout the day, but beware, it may have strong sedative effects with continued consumption. "
680,Don-Shula,hybrid,5.0,"Uplifted,Euphoric,Relaxed,Talkative,Happy","Citrus,Tropical,Diesel","Don Shula, 3rd place winner of Best Hybrid Flower at the 2016 Colorado Cannabis Cup, crosses The White and Diagonal (True OG x East Coast Sour Diesel) to create a hybrid that sits upright in the body and mind. Exhibiting functional OG effects, this pungent strain is a comfortable middle ground for indica-dominant enthusiasts seeking an all-day strain.     "
682,Donna-Og,hybrid,4.6,"Creative,Euphoric,Relaxed,Happy,Hungry","Citrus,Pungent,Sweet","Donna OG is a 50/50 hybrid cross between two OG varieties, resulting in a powerful strain with a sweet, pine aroma. Vector Beans of Cannagen Consulting in Los Angeles created Donna OG by combining Mary OG with Larry OG, and then backcrossing once again with a ML11 phenotype of the Mary OG. Donna OG blooms in purple hues, growing tightly and compactly under a blanket of THC-rich resin. Consumers can experience a wide spectrum of effects with Donna OG, including dreamy euphoria, sharpened hunger, and relaxing sedation."
683,Doobiebird-Daydream,hybrid,4.6,"Euphoric,Tingly,Happy,Talkative,Relaxed","Blueberry,Earthy,Sweet",Doobiebird Daydream is another Blue Dream hybrid that combines its famous creative relaxation with the medicinal qualities of Sanjay Gupta Kush. The Doobiebird was also the Colorado Seed Inc. mascot until Colorado State law prohibited cartoon characters to be associated with dispensaries. This hybrid expresses itself with the lime green buds of Blue Dream and a Kush aroma with a hint of skunk. Expect uplifted and motivational attributes that are grounded in a stabilizing body buzz that goes full sedation with heavier dosing. 
685,Dopium,hybrid,4.5,"Relaxed,Euphoric,Focused,Energetic,Uplifted","Earthy,Pine,Pungent","Dopium, a cross between ChemDawg and Sour Diesel, has a unique scent while keeping elements of that classic Sour Diesel smell. Described as delivering relaxing and mellow effects, Dopium has the sharp spice of diesel with floral hints."
689,Double-Dream,hybrid,4.5,"Uplifted,Relaxed,Happy,Focused,Euphoric","Sweet,Earthy,Berry","The sativa-dominant hybrid Double Dream puts a unique spin on the famed Blue Dream by crossing it with Dream Star. With a complex flavor profile that synchronizes sweet floral notes with berries and spice, Double Dream is a soothing and mentally invigorating strain that still allows clear-headed functionality. Its dreamy, euphoric buzz is anchored by a deep, physical relaxation that mutes pain, anxiety, stress, and inflammation. Patients also turn to this uplifting strain for daytime release from PTSD, headaches, and nausea."
691,Double-Mint,indica,5.0,"Uplifted,Euphoric,Sleepy,Talkative,Tingly","Minty,Mint,Lemon","Double Mint by Natural Genetics Seeds is an indica-dominant cross of signature genetics. By pairing SinMint Cookies with Mint Chocolate Chip, NSG backcrosses Mint Chocolate Chip with its mother plant, reinforcing the sweet, minty terpenes of this strain’s resinous, rock-like buds. Double Mint has a punctual 63-day flowering time and generous resin production, making it a perfect strain for extraction. Its sedative effects and mind-numbing euphoria make it an ideal “end of the day” strain to shrug off stress and be so chill, you’re minty.  "
692,Double-Og,indica,4.6,"Sleepy,Happy,Euphoric,Relaxed,Focused","Earthy,Diesel,Skunk","Double OG combines the powerhouse indica properties of Big Bud Afgoo and SFV OG to create a sedating strain ideal for body aches and sleepless nights. Though often regarded as too potent for novices, Double OG’s knock-out effects are well-suited for experienced consumers with a high THC tolerance. Deep relaxation of the mind and body brings relief to stress and anxiety, while also calming muscle spasms, tremors, and pain."
693,Double-Purple-Doja,indica,4.7,"Relaxed,Creative,Sleepy,Happy,Euphoric","Earthy,Grape,Pungent","Double Purple Doja is an indica strain that crosses Sputnik #1 with Black Russian, a parentage that gives rise to powerfully euphoric effects and a musky blackberry aroma. This indica is best saved for late night use, but its sedating qualities won’t entirely pull the plug on social or creative activities if enjoyed earlier in the day. Most notable is its deep purple coloration, and breeders often turn to Double Purple Doja genetics when creating new purple varieties. Though originally bred by TGA Genetics, Double Purple Doja is largely propagated by breeders Outlaw and Matthew Riot. "
695,Double-Tap,indica,5.0,"Talkative,Happy,Relaxed",None,"Double Tap by Mr. Mack’s Snacks is a potent cannabis strain designed for high-tolerance consumers. The strain’s Monster Cookies x Yeti OG x Bloo's Kloos heritage boasts large yields and potency well over 20% THC. Double Tap’s Bloo's Kloos ancestry also gives this strain sweet and aromatic flavors of berry, pine, grape, and fuel. This heavy indica should be consumed sparingly. As the name implies, Double Tap takes you out and puts you down, leaving the body sedated and the mind relaxed."
696,Dougs-Varin,sativa,5.0,"Uplifted,Creative,Energetic,Focused,Talkative",None,"Doug’s Varin is a rare sativa strain that was specially crafted to contain high amounts of the cannabinoid THCV, a psychoactive cannabis compound known to relieve panic attacks, Parkinson’s tremors, stimulate bone growth, and provide a burst of energy. Patient’s suffering from anorexia and appetite loss should steer clear of Doug’s Varin, as THCV also suppresses hunger. With an aroma of earthy pine and sweet citrus, Doug’s Varin delivers a clear-headed burst of mental stimulation that doesn’t last as long as high-THC varieties, making this strain a perfect choice for anyone seeking short-term effects."
698,Dr-Feelgood,hybrid,4.5,"Happy,Relaxed,Tingly,Euphoric,Sleepy","Earthy,Woody,Nutty","Dr. Feelgood is a beautiful blend of flavors and effects that possesses a tangible medical bent. This cross developed by Colorado Seed Inc. is a blend of Harlequin and Gupta Kush. Mixing the powerful CBD generation of Harlequin with the medical-grade body effects of Dr. Sanjay Gupta Kush creates a strain focused on physical wellness. With equal parts anti-inflammatory and analgesic effects, Dr. Feelgood abates anxiety and culls chronic pain with confidence. "
699,Dr-Funk,indica,4.6,"Relaxed,Happy,Tingly,Sleepy,Aroused","Earthy,Berry,Blueberry","Dr. Funk is a mostly indica strain that balances genetics from Blueberry and Bubba Kush. You can taste this strain’s lineage as flavors of sweet berry and earthy sharpness activate on the exhale. Its tight, compact buds and orange hair-like pistils are obscured under a thick dusting of crystal trichomes, which hint at Dr. Funk’s potency."
700,Dr-Grinspoon,sativa,4.8,"Happy,Energetic,Uplifted,Creative,Talkative","Earthy,Citrus,Pungent","Dr. Grinspoon, a pure sativa heirloom bred by Barney’s Farm in Amsterdam, is a strain destined for connoisseurs and intellectuals alike. In honor of the Harvard professor and cannabis advocate, this strain was named after Lester Grinspoon, who set out to correct misinformed science in the 1970s. As if channeling the brilliance of Dr. Grinspoon himself, this sativa is a top choice for creative, introspective thinkers as it induces heightened cerebral activity and sensory awareness. Dr. Grinspoon buds, imbued with rich earthy and honey flavors, grow like berries on twig stalks in unusually gapped popcorn formations. Because of its structure, Dr. Grinspoon typically delivers smaller harvests after a 13-14 week flowering time. This indoor preferred strain requires time and patience, but few cannabis varieties can impress connoisseurs like these frost coated gems. Patients with mood disorders, attention deficit, and chronic pain may find relief in the euphoric and invigorating experience that defines this legendary sativa."
702,Dr-Who,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Creative","Sweet,Earthy,Berry","Navigate the planes of time and space with Dr. Who, a potent indica hybrid originally from Homegrown Natural Wonders who wittily combined parent strains Mad Scientist and Timewreck. This 60% indica strain can deliver swift relief to pain, stress, appetite loss, multiple sclerosis, ADHD, mood disorders, and nausea without lethargy or sedation, making Dr. Who a good choice for any time of the day. Its effects are precluded by a sweet and sour aroma of pineapple and grape. Dr. Who flowers in 56 to 63 days indoors, but also grows well in outdoor gardens."
704,Dragons-Breath,hybrid,4.6,"Happy,Uplifted,Talkative,Relaxed,Creative","Spicy/Herbal,Earthy,Skunk","Dragon's Breath is a sativa-dominant hybrid cross between the two legendary strains, Jack Herer and Northern Lights. Its balanced, clear-headed effects are ushered in by a distinctive spicy aroma that hints at this hybrid's Haze ancestor. Some patients may find Dragon's Breath particularly helpful in burning off pain, depression, and anxiety throughout the day."
706,Dream-Beaver,sativa,4.7,"Happy,Uplifted,Energetic,Talkative,Creative","Pineapple,Woody,Spicy/Herbal","Dream Beaver by Bodhi Seeds is a sativa-dominant strain that crosses Dirty Hippy (an Afghooey-Blockhead hybrid) with Appalachia. With subdued flavors of fresh cedar and earthy spice, Dream Beaver deals a mellow buzz that lets you stay active, productive, and social. This sativa is a great choice for unleashing laughing fits and creative sparks on those days when your mood and motivation could use a lift."
707,Dream-Berry,indica,4.5,"Relaxed,Sleepy,Euphoric,Happy,Giggly","Berry,Citrus,Diesel","Dream Berry is a sweet, fruity cross between Blue Dream and Blackberry. Its calming indica qualities prevail over its sativa genetics. The breeders at Apothecary Genetics recommend a short 6 to 7 week flowering time for indoor gardens, or the end of September for outdoor cultivators. "
711,Dream-Star,hybrid,4.8,"Euphoric,Creative,Uplifted,Talkative,Relaxed","Earthy,Woody,Sweet","A cross between Blue Dream and Stardawg, Dream Star is a sativa-dominant hybrid bred by Oaksterdam Seed Co. Its aroma is sweet and fruity, with sour accents that hint at Dream Star’s Chemdawg lineage. This strain’s psychoactive onset begins in the head and evens out over time into a mellow full-body calm. Dream Star is used by patients to treat a variety of symptoms and conditions including headaches, pain, depression, multiple sclerosis, and Parkinson’s. This hybrid might come as a challenge to novice growers, but cultivators of this strain should wait nine weeks for indoor plants to flower."
713,Drizella,sativa,4.8,"Uplifted,Energetic,Happy,Euphoric,Giggly","Sweet,Earthy,Pungent","Drizella is a sativa bred by Dynasty Seeds that crosses Cinderella 99, White Widow, and Space Queen. These resinous buds offer a tropical aroma, with notes of pineapple, citrus, and vanilla, delivering clear, stimulating cerebral effects that are long-lasting. This stable strain can be grown both indoors and outdoors, with a flowering time around 60 days."
715,Durban-Berry,hybrid,4.6,"Focused,Relaxed,Happy,Creative,Uplifted","Pine,Citrus,Lemon","Durban Berry is a hybrid cannabis strain that harnesses the vitalizing sativa power of Durban Poison counterbalanced by the mellow indica qualities of Rocky Mountain Blueberry. Taking after her Durban Poison parent, Durban Berry delivers a functional and upbeat high that allows creativity to flow freely. A pungent lemon and berry aroma erupts from the fluffly buds while tangy citrus flavors awaken on the exhale."
717,Durban-Cookies,sativa,4.5,"Happy,Uplifted,Euphoric,Relaxed,Hungry","Sweet,Earthy,Woody","Durban Cookies is the Durban Poison-dominant phenotype of Girl Scout Cookies. Known for its invigorating mental energy and medical-grade body buzz, Durban Cookies offers a more energizing experience with powerful pain relieving qualities, making this sativa-dominant strain a top choice for patients treating aches throughout the day."
719,Durga-Mata,indica,4.9,"Relaxed,Happy,Giggly,Uplifted,Creative","Minty,Earthy,Citrus","Durga Mata, bred by Paradise Seeds, is an indica-driven strain. Despite being 90% indica, it acts unlike other predominately indica strains. With flavors best described as reminiscent of Turkish Delight, it offers a long-lasting relaxing body buzz without the couch potato effect. This strain has a natural resistance to pests and survives through rough treatment, which makes it a recommended choice for beginners and outdoor growers."
721,Dutch-Dragon,sativa,4.5,"Euphoric,Relaxed,Happy,Creative,Focused","Citrus,Sweet,Mint",Dutch Dragon is a sativa variety bred by Paradise Seeds.  She loves warmer climates and can grow as high as 9 feet tall outside so make sure you have ample vertical room.
726,Dutch-Thunder-Fuck,hybrid,4.9,"Uplifted,Euphoric,Talkative,Relaxed,Creative","Earthy,Citrus,Lemon","Dutch Thunder Fuck by Sirius Buds is a sativa-dominant hybrid strain that combines genetics from an award-winning cut of Dutch Treat and the illustrious Matanuska Thunder Fuck. Taking after its Dutch Treat parent in structure and aroma, these round bulky buds carry a strong citrus aroma with sharp minty pine undertones. Its relaxing body effects leave the mind unencumbered and soaring with euphoric inspiration. "
